ECE,MCE,area_between_curves,n_bins,total_patients,model,cancer,fold
0.109554565013489,0.32682214304702595,0.01428069552932509,10,74,SNN,BLCA,3
0.10993305151489342,0.3100693576901028,0.018191672636075427,10,74,SNN,BLCA,4
0.054999704272786054,0.11653736110929869,1.1025469134099224e-05,10,192,SNN,BRCA,0
0.06611558871138623,0.16213083133730344,0.00015305547796218353,10,191,SNN,BRCA,1
0.07114971672104019,0.13148179288013284,1.3783453965972977e-05,10,191,SNN,BRCA,2
0.05329620508862626,0.12386581732070134,1.1264050552329496e-05,10,191,SNN,BRCA,3
0.06666298377645573,0.11920382857598821,1.5714443308032284e-05,10,191,SNN,BRCA,4
0.08390303204555662,0.19440866288307568,0.00040469720447504603,10,114,SNN,GBMLGG,0
0.09671364851712264,0.2898067753200111,0.0008070432303215673,10,114,SNN,GBMLGG,1
0.15126447151674918,0.23881773877900514,0.0010472404015332832,10,114,SNN,GBMLGG,2
0.16674728991756982,0.33482863714506134,0.0008483275388450969,10,114,SNN,GBMLGG,3
0.0960875068308196,0.18765907023030293,0.00045881514465350223,10,113,SNN,GBMLGG,4
0.15136715963041494,0.30699882340988016,0.002177545689661739,10,91,SNN,LUAD,0
0.12791703763840237,0.3699271458816196,0.003772854342603507,10,91,SNN,LUAD,1
0.1476518275791068,0.26427736244154165,0.0021900589884155243,10,91,SNN,LUAD,2
0.12585243937222187,0.3141976041742164,0.0015987270496164337,10,90,SNN,LUAD,3
0.13434883147045987,0.19974482241309077,0.0028514426768438874,10,90,SNN,LUAD,4
0.05315189979296439,0.18929930748706447,0.006356897046627395,9,96,SNN,UCEC,0
0.0602489363228845,0.18971252468156397,0.005745058436930639,6,96,SNN,UCEC,1
0.08293827135467441,0.142715814887302,0.0111202121358716,7,96,SNN,UCEC,2
0.06335298852083203,0.24712930555251478,0.005335352323224535,7,96,SNN,UCEC,3
0.03680902805854718,0.16038577200564652,0.00547522813053395,8,96,SNN,UCEC,4
0.0862536994106326,0.27333984337452266,0.05048598252400838,10,201,SurvPath,BRCA,0
0.10213452502231195,0.2757496735457347,0.05739720377889246,10,201,SurvPath,BRCA,1
0.19234233337057163,0.40051436430221643,0.08944801456214947,10,201,SurvPath,BRCA,2
0.1191264263859101,0.5001315805016973,0.0907539937849664,10,201,SurvPath,BRCA,3
0.12435387901561118,0.3327874856414473,0.10981024797018928,10,200,SurvPath,BRCA,4
