model,analysis,horizon,horizon_t,fold,p_value,metric_value,method
MCAT,platt_transfer,1yr,12.0,1,0.018844383359472805,,platt_fit_at_median(41.6)
MCAT,platt_transfer,1yr,12.0,2,0.031876508789060565,,platt_fit_at_median(41.6)
MCAT,platt_transfer,1yr,12.0,3,0.021727944919041398,,platt_fit_at_median(41.6)
MCAT,platt_transfer,1yr,12.0,4,0.003408287368730556,,platt_fit_at_median(41.6)
MCAT,platt_transfer,3yr,36.0,0,0.19035895031972072,,platt_fit_at_median(41.6)
MCAT,platt_transfer,3yr,36.0,1,0.1886451266457454,,platt_fit_at_median(41.6)
MCAT,platt_transfer,3yr,36.0,2,0.046263247627705395,,platt_fit_at_median(41.6)
MCAT,platt_transfer,3yr,36.0,3,0.023864390307889005,,platt_fit_at_median(41.6)
MCAT,platt_transfer,3yr,36.0,4,0.0982372173332251,,platt_fit_at_median(41.6)
MCAT,platt_transfer,5yr,60.0,0,0.04887027053782733,,platt_fit_at_median(41.6)
MCAT,platt_transfer,5yr,60.0,1,0.004469330765910051,,platt_fit_at_median(41.6)
MCAT,platt_transfer,5yr,60.0,2,0.017057808224050786,,platt_fit_at_median(41.6)
MCAT,platt_transfer,5yr,60.0,3,3.584221808239363e-11,,platt_fit_at_median(41.6)
MCAT,platt_transfer,5yr,60.0,4,0.026102340245354738,,platt_fit_at_median(41.6)
MCAT,platt_transfer,median,41.55716162943495,0,0.3065768888518936,,platt_fit_at_median(41.6)
MCAT,platt_transfer,median,41.55716162943495,1,0.2741468587513103,,platt_fit_at_median(41.6)
MCAT,platt_transfer,median,41.55716162943495,2,0.018289178034050724,,platt_fit_at_median(41.6)
MCAT,platt_transfer,median,41.55716162943495,3,0.024395669590852265,,platt_fit_at_median(41.6)
MCAT,platt_transfer,median,41.55716162943495,4,0.0849363282952873,,platt_fit_at_median(41.6)
MMP,1-calibration,1yr,365.25,0,0.6660869786459891,,original
MMP,1-calibration,1yr,365.25,1,0.002016358617977443,,original
MMP,1-calibration,1yr,365.25,2,0.8073991545548853,,original
MMP,1-calibration,1yr,365.25,3,0.14295892078904426,,original
MMP,1-calibration,1yr,365.25,4,0.6734651348419922,,original
MMP,1-calibration,3yr,1095.75,0,0.079720572259395,,original
MMP,1-calibration,3yr,1095.75,1,0.29959990026151706,,original
MMP,1-calibration,3yr,1095.75,2,0.12533439145212788,,original
MMP,1-calibration,3yr,1095.75,3,0.005282578476013322,,original
MMP,1-calibration,3yr,1095.75,4,0.12014859780893794,,original
MMP,1-calibration,5yr,1826.25,0,1.8075837196374067e-05,,original
MMP,1-calibration,5yr,1826.25,1,0.00016155020370856032,,original
MMP,1-calibration,5yr,1826.25,2,0.00010908639073481385,,original
MMP,1-calibration,5yr,1826.25,3,2.5622837185323988e-12,,original
MMP,1-calibration,5yr,1826.25,4,1.470239726630851e-06,,original
MMP,1-calibration,median,1321.4,0,0.02808581344860872,,original
MMP,1-calibration,median,1321.4,1,0.19029551937331068,,original
MMP,1-calibration,median,1321.4,2,0.011935198911795286,,original
MMP,1-calibration,median,1321.4,3,8.133355888784166e-08,,original
MMP,1-calibration,median,1321.4,4,0.0542646450642611,,original
MMP,MACE,1yr,365.25,0,,0.02863560064928479,original
MMP,MACE,1yr,365.25,1,,0.028944899757262204,original
MMP,MACE,1yr,365.25,2,,0.02343161547547111,original
MMP,MACE,1yr,365.25,3,,0.03126199962987371,original
MMP,MACE,1yr,365.25,4,,0.0330600897922222,original
MMP,MACE,3yr,1095.75,0,,0.08476279409528366,original
MMP,MACE,3yr,1095.75,1,,0.07679546136541567,original
MMP,MACE,3yr,1095.75,2,,0.06705566076169289,original
MMP,MACE,3yr,1095.75,3,,0.10243616713493836,original
