mean_predicted,km_observed,ci_lower,ci_upper,n_patients,model,cancer,fold
0.7195025745140544,1.0,1.0,1.0,7,MCAT,BLCA,3
0.7929292338561454,0.8571428571428572,0.2581536654587949,0.9197974560448583,7,MCAT,BLCA,3
0.8003024165590977,0.625,0.22933332242913165,0.8606982769135387,8,MCAT,BLCA,3
0.8010365731922354,1.0,0.12794691759514565,0.9605486422850785,7,MCAT,BLCA,3
0.801141578113158,0.8333333333333333,0.27312284992835606,0.9747124266908934,7,MCAT,BLCA,3
0.8013578733379587,0.8750000000000001,0.38700001403202483,0.9813929658789661,8,MCAT,BLCA,3
0.5948765012712772,0.5000000000000001,0.1520358902990239,0.774865012066889,8,MCAT,BLCA,4
0.5999116986169971,0.7142857142857143,0.2581536654587949,0.9197974560448583,7,MCAT,BLCA,4
0.6068459452902549,0.8571428571428572,0.3340538792922218,0.9785610585261756,7,MCAT,BLCA,4
0.6247562365139907,0.8750000000000001,0.38700001403202483,0.9813929658789661,8,MCAT,BLCA,4
0.6803939805600772,0.6666666666666666,0.19461663680623478,0.9044341643225163,7,MCAT,BLCA,4
0.8629932716870844,0.8333333333333333,0.27312284992835606,0.9747124266908934,7,MCAT,BLCA,4
0.9751033754019985,0.8750000000000001,0.38700001403202483,0.9813929658789661,8,MCAT,BLCA,4
0.9764438080279264,0.6666666666666666,0.19461663680623478,0.9044341643225163,7,MCAT,BLCA,4
0.976519722029746,1.0,1.0,1.0,7,MCAT,BLCA,4
0.9765376769932395,0.625,0.22933332242913165,0.8606982769135387,8,MCAT,BLCA,4
0.10768039902054108,0.7500000000000001,0.4634300426581342,0.897979909715789,20,MCAT,BRCA,0
0.34456321217367025,0.7954545454545456,0.3931525870290891,0.9454487484121739,19,MCAT,BRCA,0
0.40473638375202103,1.0,1.0,1.0,19,MCAT,BRCA,0
0.55896292851283,0.8888888888888886,0.4329650902258062,0.9835640285255789,19,MCAT,BRCA,0
0.7602446626693451,0.8366013071895421,0.4652623192755182,0.9592547970370177,19,MCAT,BRCA,0
0.8867399495744896,0.8080808080808078,0.4234960061901241,0.9485229350173676,19,MCAT,BRCA,0
0.8877674664026123,0.9230769230769231,0.5663594661305215,0.9887940623036894,19,MCAT,BRCA,0
0.8896416988010011,1.0,1.0,1.0,19,MCAT,BRCA,0
0.91069910832295,1.0,1.0,1.0,19,MCAT,BRCA,0
0.9483750137916254,0.9473684210526316,0.6811867998062862,0.992414635519268,20,MCAT,BRCA,0
0.13152926666807255,0.7142857142857143,0.2581536654587949,0.9197974560448583,19,MCAT,BRCA,1
0.38704587121786155,0.7500000000000001,0.12794691759514565,0.9605486422850785,19,MCAT,BRCA,1
0.5386088543752917,0.8500000000000002,0.501492669463037,0.962453408057238,19,MCAT,BRCA,1
0.7469253086616735,1.0,1.0,1.0,19,MCAT,BRCA,1
0.7970066270082583,0.9411764705882352,0.6501789018555798,0.9914991055661495,19,MCAT,BRCA,1
0.9136049671048602,1.0,1.0,1.0,19,MCAT,BRCA,1
0.92457031074464,0.9285714285714287,0.5907668674267574,0.98961982313685,19,MCAT,BRCA,1
0.9398253691254923,1.0,1.0,1.0,19,MCAT,BRCA,1
0.9494904829246565,0.7654970760233919,0.4842127390876421,0.9062249763259356,19,MCAT,BRCA,1
0.9548125439116175,0.6666666666666666,0.19461663680623478,0.9044341643225163,20,MCAT,BRCA,1
0.04514276338839045,0.8571428571428572,0.15146703869770164,0.9017373657617976,19,MCAT,BRCA,2
0.04781359122925528,0.8020833333333335,0.4025538720463128,0.9479496391798246,19,MCAT,BRCA,2
0.1737720092383084,0.8333333333333333,0.27312284992835606,0.9747124266908934,19,MCAT,BRCA,2
0.5681385280524838,0.7500000000000001,0.314807113705519,0.9308983170906276,19,MCAT,BRCA,2
